image,image_patch,mask_patch,label,fold,ela
Au_sec_30150,4.png,,0,0,ela_4.png
Au_nat_30541,1.png,,0,0,ela_1.png
Au_cha_30474,2.png,,0,0,ela_2.png
Au_ani_30246,4.png,,0,0,ela_4.png
Au_sec_30357,1.png,,0,0,ela_1.png
Au_cha_30042,0.png,,0,0,ela_0.png
Au_ani_30773,0.png,,0,0,ela_0.png
Tp_D_NRN_M_N_art00099_cha00028_11762,4.png,4_gt.png,1,0,ela_4.png
Au_art_30161,2.png,,0,0,ela_2.png
Au_cha_30683,1.png,,0,0,ela_1.png
Au_art_30276,2.png,,0,0,ela_2.png
Au_arc_00066,3.png,,0,0,ela_3.png
Au_nat_10134,1.png,,0,0,ela_1.png
Au_sec_20007,0.png,,0,0,ela_0.png
Tp_S_NNN_S_N_ind00081_ind00081_01365,1.png,1_gt.png,1,0,ela_1.png
Tp_S_CNN_M_N_nat00047_nat00047_11068,1.png,1_gt.png,1,0,ela_1.png
Au_cha_00028,4.png,,0,0,ela_4.png
Tp_S_CNN_M_N_ind00079_ind00079_10665,1.png,1_gt.png,1,0,ela_1.png
Tp_S_NRN_S_N_pla00062_pla00062_11221,0.png,0_gt.png,1,0,ela_0.png
Tp_S_CNN_S_N_arc00047_arc00047_10240,0.png,0_gt.png,1,0,ela_0.png
Tp_S_NNN_S_N_cha10205_cha10205_12349,1.png,1_gt.png,1,0,ela_1.png
Au_cha_30512,4.png,,0,0,ela_4.png
Au_art_30556,3.png,,0,0,ela_3.png
Tp_D_NRN_M_N_pla10117_pla10118_10583,7.png,7_gt.png,1,0,ela_7.png
Au_nat_00097,3.png,,0,0,ela_3.png
Au_ani_30451,2.png,,0,0,ela_2.png
Au_nat_00060,4.png,,0,0,ela_4.png
Au_cha_30148,1.png,,0,0,ela_1.png
Au_art_20089,1.png,,0,0,ela_1.png
Tp_D_NNN_M_N_sec00021_arc10118_10778,3.png,3_gt.png,1,0,ela_3.png
Tp_S_NRD_S_B_arc00053_arc00053_01073,0.png,0_gt.png,1,0,ela_0.png
Au_arc_30186,2.png,,0,0,ela_2.png
Tp_D_NRN_M_N_ani00043_ani00044_11142,0.png,0_gt.png,1,0,ela_0.png
Au_art_30281,1.png,,0,0,ela_1.png
Au_arc_30275,2.png,,0,0,ela_2.png
Au_cha_30193,3.png,,0,0,ela_3.png
Tp_S_NNN_S_N_nat20039_nat20039_01543,11.png,11_gt.png,1,0,ela_11.png
Au_sec_30417,3.png,,0,0,ela_3.png
Au_cha_30550,0.png,,0,0,ela_0.png
Tp_D_NNN_M_N_txt00062_txt00061_10185,4.png,4_gt.png,1,0,ela_4.png
Au_arc_00063,4.png,,0,0,ela_4.png
Au_nat_30428,2.png,,0,0,ela_2.png
Au_ind_30104,1.png,,0,0,ela_1.png
Au_nat_00083,1.png,,0,0,ela_1.png
Au_cha_30065,0.png,,0,0,ela_0.png
Au_ani_30446,2.png,,0,0,ela_2.png
Au_ani_30596,0.png,,0,0,ela_0.png
Au_pla_00016,4.png,,0,0,ela_4.png
Au_art_30432,4.png,,0,0,ela_4.png
Tp_S_NRD_S_B_ind20017_ind20017_02274,0.png,0_gt.png,1,0,ela_0.png
Au_ind_30040,0.png,,0,0,ela_0.png
Tp_S_CNN_M_N_nat00044_nat00044_10557,0.png,0_gt.png,1,0,ela_0.png
Au_ani_30463,2.png,,0,0,ela_2.png
Tp_D_NRN_M_N_nat10126_cha00063_11652,3.png,3_gt.png,1,0,ela_3.png
Au_nat_30309,3.png,,0,0,ela_3.png
Au_pla_20065,3.png,,0,0,ela_3.png
Au_cha_30420,0.png,,0,0,ela_0.png
Au_ani_30564,3.png,,0,0,ela_3.png
Au_ani_30048,1.png,,0,0,ela_1.png
Tp_S_NNN_S_B_cha20027_cha20027_02426,0.png,0_gt.png,1,0,ela_0.png
Au_sec_30131,3.png,,0,0,ela_3.png
Au_art_30221,1.png,,0,0,ela_1.png
Au_cha_30029,3.png,,0,0,ela_3.png
Au_cha_30497,0.png,,0,0,ela_0.png
Tp_S_CNN_S_N_sec20079_sec20079_01669,0.png,0_gt.png,1,0,ela_0.png
Au_ani_30499,3.png,,0,0,ela_3.png
Au_ani_20019,2.png,,0,0,ela_2.png
Au_pla_30538,2.png,,0,0,ela_2.png
Au_sec_30623,3.png,,0,0,ela_3.png
Tp_S_CNN_S_N_arc00050_arc00050_10246,2.png,2_gt.png,1,0,ela_2.png
Au_sec_30634,4.png,,0,0,ela_4.png
Au_art_30084,3.png,,0,0,ela_3.png
Au_arc_20081,2.png,,0,0,ela_2.png
Au_pla_30004,2.png,,0,0,ela_2.png
Au_pla_30086,0.png,,0,0,ela_0.png
Tp_D_NNN_M_N_nat10149_nat10147_12002,0.png,0_gt.png,1,0,ela_0.png
Tp_S_NNN_S_N_art00090_art00090_01008,1.png,1_gt.png,1,0,ela_1.png
Au_pla_30006,0.png,,0,0,ela_0.png
Au_pla_30643,2.png,,0,0,ela_2.png
Tp_S_CNN_M_N_sec00044_sec00044_10584,1.png,1_gt.png,1,0,ela_1.png
Au_ind_30127,3.png,,0,0,ela_3.png
Au_sec_20078,1.png,,0,0,ela_1.png
Au_sec_30661,1.png,,0,0,ela_1.png
Au_cha_30508,1.png,,0,0,ela_1.png
Au_pla_30253,4.png,,0,0,ela_4.png
Tp_S_NNN_S_N_cha20043_cha20043_02042,1.png,1_gt.png,1,0,ela_1.png
Tp_S_NNN_S_N_nat00045_nat00045_00659,1.png,1_gt.png,1,0,ela_1.png
Tp_S_NND_S_N_arc20020_arc20020_02470,1.png,1_gt.png,1,0,ela_1.png
Tp_S_NNN_S_N_art00074_art00074_01013,1.png,1_gt.png,1,0,ela_1.png
Tp_S_NRN_S_B_sec20004_sec20004_01439,1.png,1_gt.png,1,0,ela_1.png
Tp_D_NND_S_B_ind00003_cha00040_00423,2.png,2_gt.png,1,0,ela_2.png
Au_art_30076,2.png,,0,0,ela_2.png
Au_art_30648,1.png,,0,0,ela_1.png
Tp_S_NNN_S_B_nat10001_nat10001_20002,5.png,5_gt.png,1,0,ela_5.png
Tp_S_CNN_M_N_art00064_art00064_10260,1.png,1_gt.png,1,0,ela_1.png
Au_nat_00090,2.png,,0,0,ela_2.png
Au_sec_30523,1.png,,0,0,ela_1.png
Au_sec_30458,2.png,,0,0,ela_2.png
Au_cha_30083,1.png,,0,0,ela_1.png
Au_pla_00078,4.png,,0,0,ela_4.png
Au_pla_00009,2.png,,0,0,ela_2.png
Au_art_30656,1.png,,0,0,ela_1.png
Au_nat_10122,1.png,,0,0,ela_1.png
Au_art_30524,1.png,,0,0,ela_1.png
Au_ani_30665,1.png,,0,0,ela_1.png
Au_pla_30411,3.png,,0,0,ela_3.png
Au_sec_30291,3.png,,0,0,ela_3.png
Au_txt_30013,0.png,,0,0,ela_0.png
Au_pla_30064,3.png,,0,0,ela_3.png
