image_path,class_id,label
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)1.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)10.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)100.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)101.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)102.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)103.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)104.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)105.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)106.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)107.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)108.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)109.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)11.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)110.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)111.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)112.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)114.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)115.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)116.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)117.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)118.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)119.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)12.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)120.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)121.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)122.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)123.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)124.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)125.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)126.jpg,HTC-1-M7,0
Image_Manipulation_Dataset/sp-society-camera-model-identification/train/train/HTC-1-M7/(HTC-1-M7)127.jpg,HTC-1-M7,0
