image_patch,mask_patch,label,fold,ela,root_dir
images/25309_rgb.png,mask/25309_mask.png,1,-1,ela/25309_ela.jpg,dresden_spliced
images/9182_rgb.png,mask/9182_mask.png,1,-1,ela/9182_ela.jpg,dresden_spliced
images/20400_rgb.png,mask/20400_mask.png,1,-1,ela/20400_ela.jpg,dresden_spliced
images/28477_rgb.png,mask/28477_mask.png,1,-1,ela/28477_ela.jpg,dresden_spliced
images/34590_rgb.png,mask/34590_mask.png,1,-1,ela/34590_ela.jpg,dresden_spliced
images/22534_rgb.png,mask/22534_mask.png,1,-1,ela/22534_ela.jpg,dresden_spliced
images/643_rgb.png,mask/643_mask.png,1,-1,ela/643_ela.jpg,dresden_spliced
images/29315_rgb.png,mask/29315_mask.png,1,-1,ela/29315_ela.jpg,dresden_spliced
images/24490_rgb.png,mask/24490_mask.png,1,-1,ela/24490_ela.jpg,dresden_spliced
images/8359_rgb.png,mask/8359_mask.png,1,-1,ela/8359_ela.jpg,dresden_spliced
images/14659_rgb.png,mask/14659_mask.png,1,-1,ela/14659_ela.jpg,dresden_spliced
images/19878_rgb.png,mask/19878_mask.png,1,-1,ela/19878_ela.jpg,dresden_spliced
images/25977_rgb.png,mask/25977_mask.png,1,-1,ela/25977_ela.jpg,dresden_spliced
images/20767_rgb.png,mask/20767_mask.png,1,-1,ela/20767_ela.jpg,dresden_spliced
images/4509_rgb.png,mask/4509_mask.png,1,-1,ela/4509_ela.jpg,dresden_spliced
images/9738_rgb.png,mask/9738_mask.png,1,-1,ela/9738_ela.jpg,dresden_spliced
images/19562_rgb.png,mask/19562_mask.png,1,-1,ela/19562_ela.jpg,dresden_spliced
images/13525_rgb.png,mask/13525_mask.png,1,-1,ela/13525_ela.jpg,dresden_spliced
images/11359_rgb.png,mask/11359_mask.png,1,-1,ela/11359_ela.jpg,dresden_spliced
images/32719_rgb.png,mask/32719_mask.png,1,-1,ela/32719_ela.jpg,dresden_spliced
images/21647_rgb.png,mask/21647_mask.png,1,-1,ela/21647_ela.jpg,dresden_spliced
images/6433_rgb.png,mask/6433_mask.png,1,-1,ela/6433_ela.jpg,dresden_spliced
images/34076_rgb.png,mask/34076_mask.png,1,-1,ela/34076_ela.jpg,dresden_spliced
images/30688_rgb.png,mask/30688_mask.png,1,-1,ela/30688_ela.jpg,dresden_spliced
images/30823_rgb.png,mask/30823_mask.png,1,-1,ela/30823_ela.jpg,dresden_spliced
images/31768_rgb.png,mask/31768_mask.png,1,-1,ela/31768_ela.jpg,dresden_spliced
images/23857_rgb.png,mask/23857_mask.png,1,-1,ela/23857_ela.jpg,dresden_spliced
images/16142_rgb.png,mask/16142_mask.png,1,-1,ela/16142_ela.jpg,dresden_spliced
images/1751_rgb.png,mask/1751_mask.png,1,-1,ela/1751_ela.jpg,dresden_spliced
images/9704_rgb.png,mask/9704_mask.png,1,-1,ela/9704_ela.jpg,dresden_spliced
images/13716_rgb.png,mask/13716_mask.png,1,-1,ela/13716_ela.jpg,dresden_spliced
images/30598_rgb.png,mask/30598_mask.png,1,-1,ela/30598_ela.jpg,dresden_spliced
images/10820_rgb.png,mask/10820_mask.png,1,-1,ela/10820_ela.jpg,dresden_spliced
images/23654_rgb.png,mask/23654_mask.png,1,-1,ela/23654_ela.jpg,dresden_spliced
images/355_rgb.png,mask/355_mask.png,1,-1,ela/355_ela.jpg,dresden_spliced
images/34733_rgb.png,mask/34733_mask.png,1,-1,ela/34733_ela.jpg,dresden_spliced
images/26008_rgb.png,mask/26008_mask.png,1,-1,ela/26008_ela.jpg,dresden_spliced
images/33974_rgb.png,mask/33974_mask.png,1,-1,ela/33974_ela.jpg,dresden_spliced
images/2731_rgb.png,mask/2731_mask.png,1,-1,ela/2731_ela.jpg,dresden_spliced
images/32191_rgb.png,mask/32191_mask.png,1,-1,ela/32191_ela.jpg,dresden_spliced
images/35530_rgb.png,mask/35530_mask.png,1,-1,ela/35530_ela.jpg,dresden_spliced
images/35102_rgb.png,mask/35102_mask.png,1,-1,ela/35102_ela.jpg,dresden_spliced
images/4164_rgb.png,mask/4164_mask.png,1,-1,ela/4164_ela.jpg,dresden_spliced
images/2640_rgb.png,mask/2640_mask.png,1,-1,ela/2640_ela.jpg,dresden_spliced
images/19081_rgb.png,mask/19081_mask.png,1,-1,ela/19081_ela.jpg,dresden_spliced
images/5441_rgb.png,mask/5441_mask.png,1,-1,ela/5441_ela.jpg,dresden_spliced
images/10849_rgb.png,mask/10849_mask.png,1,-1,ela/10849_ela.jpg,dresden_spliced
images/35481_rgb.png,mask/35481_mask.png,1,-1,ela/35481_ela.jpg,dresden_spliced
images/20668_rgb.png,mask/20668_mask.png,1,-1,ela/20668_ela.jpg,dresden_spliced
