image_patch,mask_patch,label,fold,ela,data_root
image/NC2016_8350.jpg,mask/removal_NC2016_8350.jpg,1,0,image/NC2016_8350_ela.jpg,NIST16/nist16_full
image/NC2016_4503.jpg,mask/removal_NC2016_4503.jpg,1,0,image/NC2016_4503_ela.jpg,NIST16/nist16_full
image/NC2016_1213.jpg,mask/removal_NC2016_1213.jpg,1,0,image/NC2016_1213_ela.jpg,NIST16/nist16_full
image/NC2016_1944.jpg,mask/removal_NC2016_1944.jpg,1,0,image/NC2016_1944_ela.jpg,NIST16/nist16_full
image/NC2016_2438.jpg,mask/removal_NC2016_2438.jpg,1,0,image/NC2016_2438_ela.jpg,NIST16/nist16_full
image/NC2016_7652.jpg,mask/removal_NC2016_7652.jpg,1,0,image/NC2016_7652_ela.jpg,NIST16/nist16_full
image/NC2016_0016.jpg,mask/removal_NC2016_0016.jpg,1,0,image/NC2016_0016_ela.jpg,NIST16/nist16_full
image/NC2016_3119.jpg,mask/removal_NC2016_3119.jpg,1,0,image/NC2016_3119_ela.jpg,NIST16/nist16_full
image/NC2016_5913.jpg,mask/removal_NC2016_5913.jpg,1,0,image/NC2016_5913_ela.jpg,NIST16/nist16_full
image/NC2016_9994.jpg,mask/removal_NC2016_9994.jpg,1,0,image/NC2016_9994_ela.jpg,NIST16/nist16_full
image/NC2016_0906.jpg,mask/removal_NC2016_0906.jpg,1,0,image/NC2016_0906_ela.jpg,NIST16/nist16_full
image/NC2016_3911.jpg,mask/removal_NC2016_3911.jpg,1,0,image/NC2016_3911_ela.jpg,NIST16/nist16_full
image/NC2016_3692.jpg,mask/removal_NC2016_3692.jpg,1,0,image/NC2016_3692_ela.jpg,NIST16/nist16_full
image/NC2016_7872.jpg,mask/removal_NC2016_7872.jpg,1,0,image/NC2016_7872_ela.jpg,NIST16/nist16_full
image/NC2016_8754.jpg,mask/removal_NC2016_8754.jpg,1,0,image/NC2016_8754_ela.jpg,NIST16/nist16_full
image/NC2016_6518.jpg,mask/removal_NC2016_6518.jpg,1,0,image/NC2016_6518_ela.jpg,NIST16/nist16_full
image/NC2016_6479.jpg,mask/removal_NC2016_6479.jpg,1,0,image/NC2016_6479_ela.jpg,NIST16/nist16_full
image/NC2016_6725.jpg,mask/removal_NC2016_6725.jpg,1,0,image/NC2016_6725_ela.jpg,NIST16/nist16_full
image/NC2016_4487.jpg,mask/removal_NC2016_4487.jpg,1,0,image/NC2016_4487_ela.jpg,NIST16/nist16_full
image/NC2016_3397.jpg,mask/removal_NC2016_3397.jpg,1,0,image/NC2016_3397_ela.jpg,NIST16/nist16_full
image/NC2016_5048.jpg,mask/removal_NC2016_5048.jpg,1,0,image/NC2016_5048_ela.jpg,NIST16/nist16_full
image/NC2016_4434.jpg,mask/removal_NC2016_4434.jpg,1,0,image/NC2016_4434_ela.jpg,NIST16/nist16_full
image/NC2016_2802.jpg,mask/removal_NC2016_2802.jpg,1,0,image/NC2016_2802_ela.jpg,NIST16/nist16_full
image/NC2016_5321.jpg,mask/removal_NC2016_5321.jpg,1,0,image/NC2016_5321_ela.jpg,NIST16/nist16_full
image/NC2016_6625.jpg,mask/removal_NC2016_6625.jpg,1,0,image/NC2016_6625_ela.jpg,NIST16/nist16_full
image/NC2016_8266.jpg,mask/removal_NC2016_8266.jpg,1,0,image/NC2016_8266_ela.jpg,NIST16/nist16_full
image/NC2016_3850.jpg,mask/removal_NC2016_3850.jpg,1,0,image/NC2016_3850_ela.jpg,NIST16/nist16_full
image/NC2016_6414.jpg,mask/removal_NC2016_6414.jpg,1,0,image/NC2016_6414_ela.jpg,NIST16/nist16_full
image/NC2016_6138.jpg,mask/removal_NC2016_6138.jpg,1,0,image/NC2016_6138_ela.jpg,NIST16/nist16_full
image/NC2016_6217.jpg,mask/removal_NC2016_6217.jpg,1,0,image/NC2016_6217_ela.jpg,NIST16/nist16_full
image/NC2016_9009.jpg,mask/removal_NC2016_9009.jpg,1,0,image/NC2016_9009_ela.jpg,NIST16/nist16_full
image/NC2016_9727.jpg,mask/removal_NC2016_9727.jpg,1,0,image/NC2016_9727_ela.jpg,NIST16/nist16_full
image/NC2016_6003.jpg,mask/removal_NC2016_6003.jpg,1,0,image/NC2016_6003_ela.jpg,NIST16/nist16_full
image/NC2016_7344.jpg,mask/removal_NC2016_7344.jpg,1,0,image/NC2016_7344_ela.jpg,NIST16/nist16_full
image/NC2016_8183.jpg,mask/removal_NC2016_8183.jpg,1,0,image/NC2016_8183_ela.jpg,NIST16/nist16_full
image/NC2016_9822.jpg,mask/removal_NC2016_9822.jpg,1,0,image/NC2016_9822_ela.jpg,NIST16/nist16_full
image/NC2016_7511.jpg,mask/removal_NC2016_7511.jpg,1,0,image/NC2016_7511_ela.jpg,NIST16/nist16_full
image/NC2016_3207.jpg,mask/removal_NC2016_3207.jpg,1,0,image/NC2016_3207_ela.jpg,NIST16/nist16_full
image/NC2016_9534.jpg,mask/removal_NC2016_9534.jpg,1,0,image/NC2016_9534_ela.jpg,NIST16/nist16_full
image/NC2016_4228.jpg,mask/removal_NC2016_4228.jpg,1,1,image/NC2016_4228_ela.jpg,NIST16/nist16_full
image/NC2016_8127.jpg,mask/removal_NC2016_8127.jpg,1,1,image/NC2016_8127_ela.jpg,NIST16/nist16_full
image/NC2016_2300.jpg,mask/removal_NC2016_2300.jpg,1,1,image/NC2016_2300_ela.jpg,NIST16/nist16_full
image/NC2016_6607.jpg,mask/removal_NC2016_6607.jpg,1,1,image/NC2016_6607_ela.jpg,NIST16/nist16_full
image/NC2016_8253.jpg,mask/removal_NC2016_8253.jpg,1,1,image/NC2016_8253_ela.jpg,NIST16/nist16_full
image/NC2016_2487.jpg,mask/removal_NC2016_2487.jpg,1,1,image/NC2016_2487_ela.jpg,NIST16/nist16_full
image/NC2016_4219.jpg,mask/removal_NC2016_4219.jpg,1,1,image/NC2016_4219_ela.jpg,NIST16/nist16_full
image/NC2016_5334.jpg,mask/removal_NC2016_5334.jpg,1,1,image/NC2016_5334_ela.jpg,NIST16/nist16_full
image/NC2016_3842.jpg,mask/removal_NC2016_3842.jpg,1,1,image/NC2016_3842_ela.jpg,NIST16/nist16_full
image/NC2016_1732.jpg,mask/removal_NC2016_1732.jpg,1,1,image/NC2016_1732_ela.jpg,NIST16/nist16_full
image/NC2016_1225.jpg,mask/removal_NC2016_1225.jpg,1,1,image/NC2016_1225_ela.jpg,NIST16/nist16_full
image/NC2016_1546.jpg,mask/removal_NC2016_1546.jpg,1,1,image/NC2016_1546_ela.jpg,NIST16/nist16_full
image/NC2016_7865.jpg,mask/removal_NC2016_7865.jpg,1,1,image/NC2016_7865_ela.jpg,NIST16/nist16_full
image/NC2016_3851.jpg,mask/removal_NC2016_3851.jpg,1,1,image/NC2016_3851_ela.jpg,NIST16/nist16_full
image/NC2016_9962.jpg,mask/removal_NC2016_9962.jpg,1,1,image/NC2016_9962_ela.jpg,NIST16/nist16_full
image/NC2016_7561.jpg,mask/removal_NC2016_7561.jpg,1,1,image/NC2016_7561_ela.jpg,NIST16/nist16_full
image/NC2016_3725.jpg,mask/removal_NC2016_3725.jpg,1,1,image/NC2016_3725_ela.jpg,NIST16/nist16_full
image/NC2016_2858.jpg,mask/removal_NC2016_2858.jpg,1,1,image/NC2016_2858_ela.jpg,NIST16/nist16_full
image/NC2016_1749.jpg,mask/removal_NC2016_1749.jpg,1,1,image/NC2016_1749_ela.jpg,NIST16/nist16_full
image/NC2016_1873.jpg,mask/removal_NC2016_1873.jpg,1,1,image/NC2016_1873_ela.jpg,NIST16/nist16_full
image/NC2016_5730.jpg,mask/removal_NC2016_5730.jpg,1,1,image/NC2016_5730_ela.jpg,NIST16/nist16_full
image/NC2016_2492.jpg,mask/removal_NC2016_2492.jpg,1,1,image/NC2016_2492_ela.jpg,NIST16/nist16_full
image/NC2016_7580.jpg,mask/removal_NC2016_7580.jpg,1,1,image/NC2016_7580_ela.jpg,NIST16/nist16_full
image/NC2016_0254.jpg,mask/removal_NC2016_0254.jpg,1,1,image/NC2016_0254_ela.jpg,NIST16/nist16_full
image/NC2016_9781.jpg,mask/removal_NC2016_9781.jpg,1,1,image/NC2016_9781_ela.jpg,NIST16/nist16_full
image/NC2016_9235.jpg,mask/removal_NC2016_9235.jpg,1,1,image/NC2016_9235_ela.jpg,NIST16/nist16_full
image/NC2016_0550.jpg,mask/removal_NC2016_0550.jpg,1,1,image/NC2016_0550_ela.jpg,NIST16/nist16_full
image/NC2016_9191.jpg,mask/removal_NC2016_9191.jpg,1,1,image/NC2016_9191_ela.jpg,NIST16/nist16_full
image/NC2016_7953.jpg,mask/removal_NC2016_7953.jpg,1,1,image/NC2016_7953_ela.jpg,NIST16/nist16_full
image/NC2016_7834.jpg,mask/removal_NC2016_7834.jpg,1,1,image/NC2016_7834_ela.jpg,NIST16/nist16_full
image/NC2016_7354.jpg,mask/removal_NC2016_7354.jpg,1,1,image/NC2016_7354_ela.jpg,NIST16/nist16_full
image/NC2016_2864.jpg,mask/removal_NC2016_2864.jpg,1,1,image/NC2016_2864_ela.jpg,NIST16/nist16_full
image/NC2016_1755.jpg,mask/removal_NC2016_1755.jpg,1,1,image/NC2016_1755_ela.jpg,NIST16/nist16_full
image/NC2016_4993.jpg,mask/removal_NC2016_4993.jpg,1,1,image/NC2016_4993_ela.jpg,NIST16/nist16_full
image/NC2016_6450.jpg,mask/removal_NC2016_6450.jpg,1,1,image/NC2016_6450_ela.jpg,NIST16/nist16_full
image/NC2016_1987.jpg,mask/removal_NC2016_1987.jpg,1,1,image/NC2016_1987_ela.jpg,NIST16/nist16_full
image/NC2016_1562.jpg,mask/removal_NC2016_1562.jpg,1,1,image/NC2016_1562_ela.jpg,NIST16/nist16_full
image/NC2016_3475.jpg,mask/removal_NC2016_3475.jpg,1,1,image/NC2016_3475_ela.jpg,NIST16/nist16_full
image/NC2016_0587.jpg,mask/removal_NC2016_0587.jpg,1,1,image/NC2016_0587_ela.jpg,NIST16/nist16_full
image/NC2016_1616.jpg,mask/removal_NC2016_1616.jpg,1,2,image/NC2016_1616_ela.jpg,NIST16/nist16_full
image/NC2016_8148.jpg,mask/removal_NC2016_8148.jpg,1,2,image/NC2016_8148_ela.jpg,NIST16/nist16_full
image/NC2016_4875.jpg,mask/removal_NC2016_4875.jpg,1,2,image/NC2016_4875_ela.jpg,NIST16/nist16_full
