image_patch,mask_patch,label,fold,ela
real/000000460347.jpg,,0,0,real/000000460347_ela.jpg
real/000000570782.jpg,,0,0,real/000000570782_ela.jpg
real/000000213255.jpg,,0,0,real/000000213255_ela.jpg
real/000000002261.jpg,,0,0,real/000000002261_ela.jpg
fake/000000356248_fake.jpg,mask/000000356248_gt.jpg,1,0,fake/000000356248_fake_ela.jpg
fake/000000129812_fake.jpg,mask/000000129812_gt.jpg,1,0,fake/000000129812_fake_ela.jpg
fake/000000368684_fake.jpg,mask/000000368684_gt.jpg,1,0,fake/000000368684_fake_ela.jpg
real/000000578545.jpg,,0,0,real/000000578545_ela.jpg
real/000000389315.jpg,,0,0,real/000000389315_ela.jpg
fake/000000369081_fake.jpg,mask/000000369081_gt.jpg,1,0,fake/000000369081_fake_ela.jpg
fake/000000451714_fake.jpg,mask/000000451714_gt.jpg,1,0,fake/000000451714_fake_ela.jpg
real/000000398742.jpg,,0,0,real/000000398742_ela.jpg
fake/000000572956_fake.jpg,mask/000000572956_gt.jpg,1,0,fake/000000572956_fake_ela.jpg
fake/000000194216_fake.jpg,mask/000000194216_gt.jpg,1,0,fake/000000194216_fake_ela.jpg
real/000000399205.jpg,,0,0,real/000000399205_ela.jpg
real/000000417249.jpg,,0,0,real/000000417249_ela.jpg
real/000000090108.jpg,,0,0,real/000000090108_ela.jpg
real/000000562581.jpg,,0,0,real/000000562581_ela.jpg
fake/000000283037_fake.jpg,mask/000000283037_gt.jpg,1,0,fake/000000283037_fake_ela.jpg
real/000000127263.jpg,,0,0,real/000000127263_ela.jpg
real/000000100428.jpg,,0,0,real/000000100428_ela.jpg
fake/000000463527_fake.jpg,mask/000000463527_gt.jpg,1,0,fake/000000463527_fake_ela.jpg
fake/000000533145_fake.jpg,mask/000000533145_gt.jpg,1,0,fake/000000533145_fake_ela.jpg
real/000000475223.jpg,,0,0,real/000000475223_ela.jpg
fake/000000116479_fake.jpg,mask/000000116479_gt.jpg,1,0,fake/000000116479_fake_ela.jpg
real/000000112798.jpg,,0,0,real/000000112798_ela.jpg
real/000000356261.jpg,,0,0,real/000000356261_ela.jpg
real/000000400815.jpg,,0,0,real/000000400815_ela.jpg
fake/000000327306_fake.jpg,mask/000000327306_gt.jpg,1,0,fake/000000327306_fake_ela.jpg
fake/000000151657_fake.jpg,mask/000000151657_gt.jpg,1,0,fake/000000151657_fake_ela.jpg
real/000000229358.jpg,,0,0,real/000000229358_ela.jpg
fake/000000229358_fake.jpg,mask/000000229358_gt.jpg,1,0,fake/000000229358_fake_ela.jpg
fake/000000043737_fake.jpg,mask/000000043737_gt.jpg,1,0,fake/000000043737_fake_ela.jpg
fake/000000090108_fake.jpg,mask/000000090108_gt.jpg,1,0,fake/000000090108_fake_ela.jpg
fake/000000268729_fake.jpg,mask/000000268729_gt.jpg,1,0,fake/000000268729_fake_ela.jpg
real/000000523957.jpg,,0,0,real/000000523957_ela.jpg
fake/000000480842_fake.jpg,mask/000000480842_gt.jpg,1,0,fake/000000480842_fake_ela.jpg
real/000000187513.jpg,,0,0,real/000000187513_ela.jpg
real/000000530061.jpg,,0,0,real/000000530061_ela.jpg
real/000000353027.jpg,,0,0,real/000000353027_ela.jpg
fake/000000094944_fake.jpg,mask/000000094944_gt.jpg,1,0,fake/000000094944_fake_ela.jpg
real/000000263966.jpg,,0,0,real/000000263966_ela.jpg
fake/000000282037_fake.jpg,mask/000000282037_gt.jpg,1,0,fake/000000282037_fake_ela.jpg
fake/000000361268_fake.jpg,mask/000000361268_gt.jpg,1,0,fake/000000361268_fake_ela.jpg
fake/000000553669_fake.jpg,mask/000000553669_gt.jpg,1,0,fake/000000553669_fake_ela.jpg
fake/000000176901_fake.jpg,mask/000000176901_gt.jpg,1,0,fake/000000176901_fake_ela.jpg
fake/000000384808_fake.jpg,mask/000000384808_gt.jpg,1,0,fake/000000384808_fake_ela.jpg
fake/000000217753_fake.jpg,mask/000000217753_gt.jpg,1,0,fake/000000217753_fake_ela.jpg
real/000000357737.jpg,,0,0,real/000000357737_ela.jpg
real/000000410934.jpg,,0,0,real/000000410934_ela.jpg
fake/000000147745_fake.jpg,mask/000000147745_gt.jpg,1,0,fake/000000147745_fake_ela.jpg
fake/000000181753_fake.jpg,mask/000000181753_gt.jpg,1,0,fake/000000181753_fake_ela.jpg
fake/000000166277_fake.jpg,mask/000000166277_gt.jpg,1,0,fake/000000166277_fake_ela.jpg
real/000000078915.jpg,,0,0,real/000000078915_ela.jpg
fake/000000512194_fake.jpg,mask/000000512194_gt.jpg,1,0,fake/000000512194_fake_ela.jpg
real/000000247917.jpg,,0,0,real/000000247917_ela.jpg
fake/000000039484_fake.jpg,mask/000000039484_gt.jpg,1,0,fake/000000039484_fake_ela.jpg
real/000000438774.jpg,,0,0,real/000000438774_ela.jpg
real/000000366611.jpg,,0,0,real/000000366611_ela.jpg
real/000000109798.jpg,,0,0,real/000000109798_ela.jpg
fake/000000227187_fake.jpg,mask/000000227187_gt.jpg,1,0,fake/000000227187_fake_ela.jpg
real/000000248980.jpg,,0,0,real/000000248980_ela.jpg
real/000000467511.jpg,,0,0,real/000000467511_ela.jpg
fake/000000142324_fake.jpg,mask/000000142324_gt.jpg,1,0,fake/000000142324_fake_ela.jpg
fake/000000006954_fake.jpg,mask/000000006954_gt.jpg,1,0,fake/000000006954_fake_ela.jpg
fake/000000381971_fake.jpg,mask/000000381971_gt.jpg,1,0,fake/000000381971_fake_ela.jpg
fake/000000143961_fake.jpg,mask/000000143961_gt.jpg,1,0,fake/000000143961_fake_ela.jpg
real/000000367680.jpg,,0,0,real/000000367680_ela.jpg
fake/000000343496_fake.jpg,mask/000000343496_gt.jpg,1,0,fake/000000343496_fake_ela.jpg
real/000000157807.jpg,,0,0,real/000000157807_ela.jpg
fake/000000290833_fake.jpg,mask/000000290833_gt.jpg,1,0,fake/000000290833_fake_ela.jpg
real/000000265777.jpg,,0,0,real/000000265777_ela.jpg
real/000000441491.jpg,,0,0,real/000000441491_ela.jpg
fake/000000082180_fake.jpg,mask/000000082180_gt.jpg,1,0,fake/000000082180_fake_ela.jpg
real/000000365207.jpg,,0,0,real/000000365207_ela.jpg
fake/000000126137_fake.jpg,mask/000000126137_gt.jpg,1,0,fake/000000126137_fake_ela.jpg
fake/000000203294_fake.jpg,mask/000000203294_gt.jpg,1,0,fake/000000203294_fake_ela.jpg
real/000000316015.jpg,,0,0,real/000000316015_ela.jpg
fake/000000187249_fake.jpg,mask/000000187249_gt.jpg,1,0,fake/000000187249_fake_ela.jpg
real/000000439525.jpg,,0,0,real/000000439525_ela.jpg
real/000000371699.jpg,,0,0,real/000000371699_ela.jpg
fake/000000415741_fake.jpg,mask/000000415741_gt.jpg,1,0,fake/000000415741_fake_ela.jpg
real/000000232088.jpg,,0,0,real/000000232088_ela.jpg
fake/000000245448_fake.jpg,mask/000000245448_gt.jpg,1,0,fake/000000245448_fake_ela.jpg
fake/000000456015_fake.jpg,mask/000000456015_gt.jpg,1,0,fake/000000456015_fake_ela.jpg
fake/000000333069_fake.jpg,mask/000000333069_gt.jpg,1,0,fake/000000333069_fake_ela.jpg
real/000000429761.jpg,,0,0,real/000000429761_ela.jpg
fake/000000446005_fake.jpg,mask/000000446005_gt.jpg,1,0,fake/000000446005_fake_ela.jpg
fake/000000417779_fake.jpg,mask/000000417779_gt.jpg,1,0,fake/000000417779_fake_ela.jpg
real/000000054123.jpg,,0,0,real/000000054123_ela.jpg
real/000000225532.jpg,,0,0,real/000000225532_ela.jpg
real/000000088218.jpg,,0,0,real/000000088218_ela.jpg
real/000000064495.jpg,,0,0,real/000000064495_ela.jpg
fake/000000127494_fake.jpg,mask/000000127494_gt.jpg,1,0,fake/000000127494_fake_ela.jpg
fake/000000035682_fake.jpg,mask/000000035682_gt.jpg,1,0,fake/000000035682_fake_ela.jpg
fake/000000188592_fake.jpg,mask/000000188592_gt.jpg,1,0,fake/000000188592_fake_ela.jpg
real/000000175251.jpg,,0,0,real/000000175251_ela.jpg
real/000000213593.jpg,,0,0,real/000000213593_ela.jpg
real/000000017627.jpg,,0,0,real/000000017627_ela.jpg
real/000000172877.jpg,,0,0,real/000000172877_ela.jpg
real/000000249643.jpg,,0,0,real/000000249643_ela.jpg
real/000000301135.jpg,,0,0,real/000000301135_ela.jpg
real/000000312421.jpg,,0,0,real/000000312421_ela.jpg
fake/000000134886_fake.jpg,mask/000000134886_gt.jpg,1,0,fake/000000134886_fake_ela.jpg
real/000000572517.jpg,,0,0,real/000000572517_ela.jpg
real/000000185409.jpg,,0,0,real/000000185409_ela.jpg
fake/000000150638_fake.jpg,mask/000000150638_gt.jpg,1,0,fake/000000150638_fake_ela.jpg
fake/000000011051_fake.jpg,mask/000000011051_gt.jpg,1,0,fake/000000011051_fake_ela.jpg
real/000000153669.jpg,,0,0,real/000000153669_ela.jpg
